ID,Name,Price,Category,image,Description,Availability
1200,ZERO Crystal Table Lamp,50,Home Decor,pic_1.webp,"3 Colors, Brightness Adjustment, Touch Contol, Premium Luxury Look, 5 Hours Battery Backup",Instock
1220,Diamond Table Lamp,40,Home Decor,pic_2.webp,"16 Clolors LED Table Lamp, Remote Control, Various MOde Of Lighting. Best Light For Night, 5 Hours Battery Backup",Instock
1230,Rose Table Lamp,30,Home Decor,pic_3.webp,"17 Clolors LED Table Lamp, Remote Control, Various MOde Of Lighting. Best Light For Night, 5 Hours Battery Backup",Instock
1250,Baby Special Bouncer,60,Baby Products,pic_4.webp,"Soothe your little one with the gentle bounce and comforting vibrations of our Baby Special Bouncer. Designed for ultimate comfort, this bouncer features a plush, machine-washable seat and a secure three-point harness. The playful toy bar, complete with colorful, interactive toys, will keep your baby entertained while you enjoy a moment of hands-free bliss. Perfect for newborns and infants up to [weight limit], this bouncer provides a safe and cozy space for your baby to relax and play. Give your baby the gift of comfort and give yourself a break with the Baby Special Bouncer!",Instock
1260,Baby Rocker,65,Baby Products,pic_5.webp,"Transform naptime and playtime with our versatile Baby Rocker. This innovative rocker easily converts from a stationary seat to a gentle rocker, providing your baby with the perfect blend of comfort and entertainment. The soft, padded seat and adjustable recline ensure your little one is always comfortable, while the calming vibrations help soothe them to sleep. The removable toy bar with engaging toys encourages development and keeps your baby happily occupied. Ideal for newborns and toddlers up to [weight limit], this rocker is a must-have for any parent seeking a safe and soothing space for their child",Instock
1270,Baobao Baby Stroller,70,Baby Products,pic_6.webp,"Experience smooth and effortless strolling with the Baobao Baby Stroller. Designed with both parent and baby in mind, this stroller boasts a lightweight yet sturdy frame, making it easy to maneuver through crowded streets and tight spaces. The multi-position reclining seat ensures your baby's comfort at every stage, from newborn to toddler. The large canopy provides ample shade, while the spacious storage basket offers convenient space for all your essentials. With its easy one-hand fold and compact design, the Baobao Baby Stroller is the perfect travel companion for modern parents. Enjoy hassle-free outings with your little one with the reliable and stylish Baobao Baby Stroller",Instock
1280,TP-Link Wireless Router,80,Networking Products,pic_7.jpg,"High-speed dual-band wireless router with advanced QoS and multiple security protocols. Ideal for home and office connectivity.",Instock
1290,Ruijie 24-Port Managed Switch,120,Networking Products,pic_8.jpeg,"Enterprise-grade 24-port managed switch with PoE support, ensuring reliable network performance and simplified management.",Instock
1300,TP-Link Range Extender,50,Networking Products,pic_9.jpeg,"Boost your Wi-Fi signal with this easy-to-install range extender, offering enhanced coverage for larger homes and offices.",Instock
1310,Ruijie Firewall Appliance,200,Networking Products,pic_10.png,"Robust firewall appliance offering advanced security features including intrusion detection, VPN support, and comprehensive network protection.",Instock
1320,TP-Link Powerline Adapter Kit,70,Networking Products,pic_11.jpeg,"Create a wired network using your existing electrical wiring. Ideal for streaming and gaming with stable, high-speed connectivity.",Instock
1330,TP-Link Smart Wi-Fi Router AC 1750,90,Networking Products,pic_12.webp,"Advanced router with AI network optimization and secure connectivity.",Instock
1340,Ruijie Cloud Managed Switch RG-ES218GC-P 18-Port,150,Networking Products,pic_13.jpg,"Next-generation switch with cloud management capabilities for seamless network control.",Instock
1350,Cisco Meraki MR36 Wireless Access Point,250,Networking Products,pic_14.jpeg,"High-performance access point offering seamless connectivity and advanced security features.",Instock
1360,Netgear Nighthawk Pro Gaming Router,220,Networking Products,pic_15.jpeg,"Optimized for gaming with low latency, high throughput, and robust security protocols.",Instock
1370,Ubiquiti UniFi Dream Router,180,Networking Products,pic_16.jpeg,"An all-in-one router with built-in security gateway and centralized network management.",Instock
1375,Hikvision 4K Security Camera,120,Surveillance,pic_17.jpeg,"High-resolution 4K security camera with night vision, motion detection, and remote monitoring.",Instock
1385,Dahua Wireless Surveillance Camera,100,Surveillance,pic_18.jpeg,"Wireless surveillance camera featuring real-time monitoring, two-way audio, and easy installation.",Instock
1395,Axis Network Camera,200,Surveillance,pic_19.jpeg,"Robust network camera offering high-definition video, advanced analytics, and reliable performance.",Instock
